TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Aug 27, 2018",153.0,154.0,152.25,153.49,992900
"Aug 24, 2018",155.0,156.0,152.4,152.97,676300
"Aug 20, 2018",152.98,156.98,151.6,154.07,1224000
"Aug 17, 2018",152.02,154.05,151.13,151.74,2536300
"Aug 16, 2018",155.4,156.5,151.02,151.96,2042100
"Aug 15, 2018",158.88,159.39,156.0,156.58,403400
"Aug 13, 2018",161.2,161.85,158.05,158.27,557800
"Aug 10, 2018",161.98,162.49,159.81,160.95,1802500
"Aug 9, 2018",160.28,162.0,160.0,161.6,703300
"Aug 8, 2018",161.25,162.75,160.0,161.12,646400
"Aug 7, 2018",163.8,165.5,160.46,161.08,1039000
"Aug 6, 2018",162.7,165.0,162.0,162.52,770400
"Aug 3, 2018",161.5,164.0,159.03,162.05,5034700
"Aug 2, 2018",176.95,177.51,167.29,167.29,2233800
"Aug 1, 2018",175.3,179.5,172.0,176.09,619500
"Jul 31, 2018",185.52,185.52,176.6,177.58,1794000
"Jul 30, 2018",183.0,188.6,181.6,185.47,2940700
"Jul 27, 2018",173.49,180.95,171.6,179.66,2799700
"Jul 26, 2018",175.0,175.0,169.99,172.35,1845600
"Jul 24, 2018",167.0,170.55,165.75,169.95,1819100
"Jul 23, 2018",170.0,171.8,166.1,167.06,854000
"Jul 20, 2018",175.0,175.0,170.0,170.71,978100
"Jul 19, 2018",175.0,176.0,172.25,174.88,1750900
"Jul 18, 2018",164.5,170.5,164.5,170.01,2095800
"Jul 17, 2018",163.5,165.99,161.3,163.6,784300
"Jul 16, 2018",170.0,171.0,160.0,164.04,3641800
"Jul 13, 2018",159.0,167.94,159.0,167.94,2358100
"Jul 12, 2018",158.3,161.0,155.0,159.95,996600
"Jul 11, 2018",160.0,163.0,157.05,158.59,942000
"Jul 10, 2018",157.05,162.75,155.1,161.32,1972900
"Jul 9, 2018",162.0,162.0,156.04,156.76,1117500
"Jul 6, 2018",163.89,163.89,158.5,160.77,395000
"Jul 5, 2018",162.7,163.0,160.0,160.8,837900
"Jul 4, 2018",166.5,166.5,160.12,161.44,665500
"Jul 3, 2018",169.39,169.5,167.0,167.1,365800
"Jul 2, 2018",167.89,169.5,167.0,168.59,442400
"Jun 29, 2018",164.0,167.0,164.0,166.44,1015100
"Jun 28, 2018",164.1,166.25,162.01,164.72,962600
"Jun 27, 2018",166.7,168.25,164.0,164.44,1152600
"Jun 26, 2018",165.79,167.75,164.1,165.15,2101000
"Jun 25, 2018",163.86,166.5,161.12,164.99,1842500
"Jun 22, 2018",167.78,169.69,163.25,163.86,3013200
"Jun 21, 2018",172.0,172.0,167.06,167.79,2413900
"Jun 20, 2018",179.39,179.5,172.67,173.45,1245900
"Jun 19, 2018",181.99,182.0,178.0,179.81,1486900
"Jun 14, 2018",183.6,185.0,180.0,181.24,1778400
"Jun 13, 2018",182.5,185.25,181.25,183.53,595200
"Jun 12, 2018",187.03,189.99,181.0,182.28,441500
"Jun 11, 2018",184.99,190.99,183.0,188.82,1887300
"Jun 7, 2018",190.0,190.8,184.11,184.88,1147000
"Jun 6, 2018",181.0,189.74,180.02,189.47,2251200
"Jun 5, 2018",175.0,183.54,174.02,181.72,1459400
"Jun 4, 2018",172.0,176.49,171.0,174.8,2057700
"Jun 1, 2018",165.0,174.25,165.0,172.91,1123500
"May 31, 2018",169.05,175.5,166.56,171.19,2840200
"May 30, 2018",174.0,174.0,169.0,169.46,1429600
